epoch,pkg_w,psys_w,cpu_freq_avg_mhz,cpu_freq_max_mhz,pkg_temp_c,sen3_c,bat_status,bat_pct,bat_power_w,ac_online,pkg_throttle_count,core_throttle_count,platform_profile
1784612210,4.41,21.03,1041,3411,43.0,43.0,Not charging,100,0.00,1,8366,3539,balanced
1784612211,3.57,16.62,1004,3421,43.0,43.0,Not charging,100,0.00,1,8366,3539,balanced
1784612212,5.03,18.52,826,3397,43.0,43.0,Not charging,100,0.00,1,8366,3539,balanced
1784612213,5.24,18.45,1119,4700,47.0,43.0,Not charging,100,0.00,1,8366,3539,balanced
1784612214,5.02,18.53,816,3137,41.0,43.0,Not charging,100,0.00,1,8366,3539,balanced
1784612215,5.18,18.89,907,4325,42.0,43.0,Not charging,100,0.00,1,8366,3539,balanced
1784612216,5.45,18.59,861,1704,41.0,43.0,Not charging,100,0.00,1,8366,3539,balanced
1784612217,5.29,18.99,917,1900,40.0,43.0,Not charging,100,0.00,1,8366,3539,balanced
1784612218,3.78,16.17,844,3326,42.0,43.0,Not charging,100,0.00,1,8366,3539,balanced
1784612219,6.72,20.89,644,1578,41.0,43.0,Not charging,100,0.00,1,8366,3539,balanced
1784612220,18.49,36.24,2589,3942,83.0,43.0,Not charging,100,0.00,1,8368,3539,balanced
1784612221,33.06,54.86,1892,4032,99.0,43.0,Discharging,100,0.15,1,8381,3540,balanced
1784612222,9.68,25.33,887,1847,42.0,43.0,Discharging,100,0.04,1,8381,3540,balanced
1784612223,5.95,19.48,668,1680,41.0,43.0,Not charging,100,0.00,1,8381,3540,balanced
1784612224,6.64,21.13,977,2785,42.0,43.0,Not charging,100,0.00,1,8381,3540,balanced
1784612225,5.01,18.61,1720,3392,43.0,43.0,Not charging,100,0.00,1,8381,3540,balanced
1784612226,13.17,30.40,971,1707,42.0,43.0,Not charging,100,0.00,1,8381,3540,balanced
1784612227,4.81,17.79,1042,3398,43.0,43.0,Not charging,100,0.00,1,8381,3540,balanced
1784612229,5.13,18.12,942,2575,42.0,43.0,Not charging,100,0.00,1,8381,3540,balanced
1784612230,4.51,16.99,1113,3420,43.0,43.0,Not charging,100,0.00,1,8381,3540,balanced
1784612231,8.36,22.28,770,1800,42.0,43.0,Not charging,100,0.00,1,8381,3540,balanced
1784612232,5.08,18.76,908,2352,41.0,43.0,Discharging,100,0.04,1,8381,3540,balanced
1784612233,4.59,17.60,926,4381,42.0,43.0,Not charging,100,0.00,1,8381,3540,balanced
1784612234,5.97,20.31,1384,4000,63.0,43.0,Not charging,100,0.00,1,8381,3540,balanced
1784612235,15.70,35.11,1810,4700,58.0,43.0,Not charging,100,0.00,1,8381,3540,balanced
1784612236,16.91,34.80,2673,3800,80.0,43.0,Not charging,100,0.00,1,8382,3540,balanced
1784612237,16.96,34.53,850,2010,43.0,43.0,Not charging,100,0.00,1,8400,3540,balanced
1784612238,5.40,18.89,1541,3756,44.0,43.0,Not charging,100,0.00,1,8400,3540,balanced
1784612239,4.69,17.38,777,1800,42.0,43.0,Not charging,100,0.00,1,8400,3540,balanced
1784612240,5.12,18.33,929,2554,42.0,43.0,Not charging,100,0.00,1,8400,3540,balanced
1784612241,5.12,17.85,823,2835,43.0,43.0,Not charging,100,0.00,1,8400,3540,balanced
1784612242,4.27,16.63,835,2249,42.0,43.0,Not charging,100,0.00,1,8400,3540,balanced
1784612243,3.77,15.99,1428,3198,45.0,43.0,Not charging,100,0.00,1,8400,3540,balanced
1784612244,11.13,26.56,698,1671,43.0,43.0,Not charging,100,0.00,1,8401,3541,balanced
1784612245,5.24,18.45,1092,3399,45.0,43.0,Discharging,100,0.42,1,8401,3541,balanced
1784612246,3.87,16.77,660,1768,41.0,43.0,Not charging,100,0.00,1,8401,3541,balanced
1784612247,4.61,18.31,1092,3415,42.0,43.0,Not charging,100,0.00,1,8401,3541,balanced
1784612248,4.32,16.86,996,2593,41.0,44.0,Not charging,100,0.00,1,8401,3541,balanced
1784612250,4.92,18.14,811,1604,42.0,44.0,Not charging,100,0.00,1,8401,3541,balanced
1784612251,4.84,17.86,721,1700,42.0,44.0,Not charging,100,0.00,1,8401,3541,balanced
1784612252,4.97,18.48,937,1699,41.0,44.0,Not charging,100,0.00,1,8401,3541,balanced
1784612253,8.11,21.97,895,1809,42.0,44.0,Not charging,100,0.00,1,8401,3541,balanced
1784612254,6.50,20.28,1588,3378,58.0,44.0,Not charging,100,0.00,1,8401,3541,balanced
1784612255,19.65,39.08,2306,4446,80.0,44.0,Not charging,100,0.00,1,8403,3541,balanced
1784612256,10.57,25.50,1122,2199,43.0,44.0,Not charging,100,0.00,1,8415,3541,balanced
1784612257,4.45,17.30,1082,3420,41.0,43.0,Not charging,100,0.00,1,8415,3541,balanced
1784612258,5.37,18.50,1182,2462,42.0,43.0,Not charging,100,0.00,1,8415,3541,balanced
1784612259,4.44,16.90,1077,2806,41.0,43.0,Not charging,100,0.00,1,8415,3541,balanced
1784612260,4.70,17.31,783,2269,42.0,43.0,Not charging,100,0.00,1,8415,3541,balanced
1784612261,4.70,17.80,722,1711,42.0,43.0,Not charging,100,0.00,1,8415,3541,balanced
1784612262,5.56,19.84,1519,4310,45.0,43.0,Not charging,100,0.00,1,8415,3541,balanced
1784612263,4.88,17.82,747,1617,42.0,43.0,Not charging,100,0.00,1,8415,3541,balanced
1784612264,8.00,21.83,1155,3381,44.0,43.0,Not charging,100,0.00,1,8415,3541,balanced
1784612265,5.55,19.09,1597,3378,45.0,43.0,Not charging,100,0.00,1,8415,3541,balanced
1784612266,5.01,17.72,1197,3384,46.0,43.0,Not charging,100,0.00,1,8415,3541,balanced
1784612267,4.82,17.41,1945,4556,76.0,43.0,Not charging,100,0.00,1,8415,3541,balanced
1784612268,6.97,20.64,1075,3814,43.0,43.0,Not charging,100,0.00,1,8415,3541,balanced
1784612270,8.43,23.33,821,2296,43.0,43.0,Not charging,100,0.00,1,8415,3541,balanced
1784612271,6.21,20.29,1038,2388,41.0,43.0,Not charging,100,0.00,1,8415,3541,balanced
1784612272,5.13,18.03,2200,3977,42.0,43.0,Not charging,100,0.00,1,8415,3541,balanced
1784612273,7.83,22.38,639,2559,41.0,43.0,Not charging,100,0.00,1,8415,3541,balanced
1784612274,3.74,16.19,759,2732,41.0,43.0,Not charging,100,0.00,1,8415,3541,balanced
1784612275,4.25,16.79,1060,4224,42.0,43.0,Not charging,100,0.00,1,8415,3541,balanced
1784612276,6.08,19.08,727,1500,41.0,43.0,Not charging,100,0.00,1,8415,3541,balanced
1784612277,3.23,15.29,654,2100,41.0,43.0,Discharging,100,0.04,1,8415,3541,balanced
1784612278,3.09,14.88,1566,3697,42.0,43.0,Not charging,100,0.00,1,8415,3541,balanced
1784612279,3.00,14.68,835,2692,40.0,43.0,Not charging,100,0.00,1,8415,3541,balanced
1784612280,4.14,17.31,1276,3400,43.0,43.0,Not charging,100,0.00,1,8415,3541,balanced
1784612281,22.63,40.35,2583,3000,74.0,43.0,Discharging,100,0.32,1,8415,3541,balanced
1784612282,35.27,55.96,2550,2800,76.0,43.0,Not charging,100,0.00,1,8415,3541,balanced
1784612283,34.88,56.11,2600,2908,77.0,43.0,Not charging,100,0.00,1,8415,3541,balanced
1784612284,33.64,55.96,2632,2900,73.0,43.0,Not charging,100,0.00,1,8415,3541,balanced
1784612285,34.78,55.98,2650,2900,77.0,43.0,Not charging,100,0.00,1,8415,3541,balanced
1784612286,35.02,56.01,2589,2900,77.0,43.0,Not charging,100,0.00,1,8415,3541,balanced
1784612287,35.01,55.94,2786,3100,77.0,43.0,Not charging,100,0.00,1,8415,3541,balanced
1784612288,35.26,56.06,2550,2800,78.0,43.0,Not charging,100,0.00,1,8415,3541,balanced
1784612290,35.06,56.03,2672,3000,79.0,43.0,Not charging,100,0.00,1,8415,3541,balanced
1784612291,34.96,56.00,2737,3000,78.0,44.0,Not charging,100,0.00,1,8415,3541,balanced
1784612292,35.29,55.97,2686,2989,78.0,44.0,Not charging,100,0.00,1,8415,3541,balanced
1784612293,33.92,56.10,2570,2900,77.0,44.0,Not charging,100,0.00,1,8415,3541,balanced
1784612294,34.15,55.96,2651,2917,78.0,44.0,Not charging,100,0.00,1,8415,3541,balanced
1784612295,33.98,56.08,2523,2800,79.0,44.0,Not charging,100,0.00,1,8415,3541,balanced
1784612296,33.26,55.97,2649,2904,77.0,44.0,Not charging,100,0.00,1,8415,3541,balanced
1784612297,33.87,55.97,2649,2900,79.0,45.0,Not charging,100,0.00,1,8415,3541,balanced
1784612298,35.98,56.09,2638,2900,82.0,45.0,Not charging,100,0.00,1,8415,3541,balanced
1784612299,34.26,56.02,2396,2600,78.0,45.0,Not charging,100,0.00,1,8415,3541,balanced
1784612300,34.05,55.98,2650,2900,82.0,46.0,Not charging,100,0.00,1,8415,3541,balanced
1784612301,34.24,55.96,2525,2800,81.0,46.0,Not charging,100,0.00,1,8415,3541,balanced
1784612302,34.22,56.09,2517,2800,82.0,46.0,Not charging,100,0.00,1,8415,3541,balanced
1784612303,34.10,55.99,2533,2800,82.0,46.0,Not charging,100,0.00,1,8415,3541,balanced
1784612304,33.88,55.90,2533,2800,79.0,47.0,Not charging,100,0.00,1,8415,3541,balanced
1784612305,34.45,56.02,2520,2800,81.0,47.0,Not charging,100,0.00,1,8415,3541,balanced
1784612306,34.19,56.12,2522,2812,81.0,47.0,Not charging,100,0.00,1,8415,3541,balanced
1784612307,36.03,55.97,2550,2800,81.0,48.0,Not charging,100,0.00,1,8415,3541,balanced
1784612308,36.67,55.94,2787,3100,83.0,48.0,Not charging,100,0.00,1,8415,3541,balanced
1784612309,36.53,56.01,2718,3000,81.0,48.0,Not charging,100,0.00,1,8415,3541,balanced
1784612310,35.96,56.02,2675,3000,85.0,48.0,Not charging,100,0.00,1,8415,3541,balanced
1784612312,36.33,56.01,2750,3000,86.0,48.0,Not charging,100,0.00,1,8415,3541,balanced
1784612313,35.68,55.97,2693,3000,86.0,49.0,Not charging,100,0.00,1,8415,3541,balanced
1784612314,35.60,56.00,2785,3110,86.0,49.0,Not charging,100,0.00,1,8415,3541,balanced
1784612315,36.53,56.01,2688,3000,85.0,49.0,Not charging,100,0.00,1,8415,3541,balanced
1784612316,36.00,56.10,2568,2900,82.0,49.0,Not charging,100,0.00,1,8415,3541,balanced
1784612317,36.77,55.95,2675,3000,86.0,50.0,Not charging,100,0.00,1,8415,3541,balanced
1784612318,35.44,56.05,2484,2700,79.0,50.0,Not charging,100,0.00,1,8415,3541,balanced
1784612319,33.90,55.91,2575,2900,85.0,50.0,Not charging,100,0.00,1,8415,3541,balanced
1784612320,35.82,56.02,2750,3000,88.0,50.0,Not charging,100,0.00,1,8415,3541,balanced
1784612321,35.30,56.01,2650,2904,83.0,50.0,Not charging,100,0.00,1,8415,3541,balanced
1784612322,34.29,56.05,2650,2900,83.0,50.0,Not charging,100,0.00,1,8415,3541,balanced
1784612323,34.60,56.00,2612,2900,82.0,51.0,Not charging,100,0.00,1,8415,3541,balanced
1784612324,34.25,55.90,2525,2800,83.0,51.0,Not charging,100,0.00,1,8415,3541,balanced
1784612325,32.99,56.10,2551,2900,85.0,51.0,Not charging,100,0.00,1,8415,3541,balanced
1784612326,33.19,56.02,2421,2700,81.0,51.0,Not charging,100,0.00,1,8415,3541,balanced
1784612327,32.91,55.97,2567,2905,85.0,51.0,Not charging,100,0.00,1,8415,3541,balanced
1784612328,34.26,56.02,2575,2900,83.0,52.0,Not charging,100,0.00,1,8415,3541,balanced
1784612330,34.10,55.96,2663,3011,85.0,52.0,Not charging,100,0.00,1,8415,3541,balanced
1784612331,34.83,55.97,2688,3007,83.0,52.0,Not charging,100,0.00,1,8415,3541,balanced
1784612332,34.66,56.02,2734,3000,83.0,52.0,Not charging,100,0.00,1,8415,3541,balanced
1784612333,33.69,56.04,2543,2800,82.0,52.0,Not charging,100,0.00,1,8415,3541,balanced
1784612334,34.32,55.96,2743,3000,85.0,52.0,Not charging,100,0.00,1,8415,3541,balanced
1784612335,34.56,56.01,2749,3000,85.0,52.0,Not charging,100,0.00,1,8415,3541,balanced
1784612336,34.99,56.01,2650,2900,82.0,53.0,Not charging,100,0.00,1,8415,3541,balanced
1784612337,34.37,55.98,2734,3000,85.0,53.0,Not charging,100,0.00,1,8415,3541,balanced
1784612338,34.55,56.04,2638,2900,90.0,53.0,Not charging,100,0.00,1,8415,3541,balanced
1784612339,34.18,56.03,2565,2900,86.0,53.0,Not charging,100,0.00,1,8415,3541,balanced
1784612340,33.56,56.01,2519,2800,82.0,53.0,Not charging,100,0.00,1,8415,3541,balanced
1784612341,33.55,56.03,2540,2800,82.0,53.0,Not charging,100,0.00,1,8415,3541,balanced
1784612342,32.56,56.10,2367,2600,79.0,53.0,Not charging,100,0.00,1,8415,3541,balanced
1784612343,32.15,55.87,2548,2801,82.0,53.0,Not charging,100,0.00,1,8415,3541,balanced
1784612344,33.60,55.95,2740,3007,85.0,54.0,Not charging,100,0.00,1,8415,3541,balanced
1784612345,33.93,56.02,2650,2901,85.0,54.0,Not charging,100,0.00,1,8415,3541,balanced
1784612346,34.00,56.08,2547,2800,85.0,54.0,Not charging,100,0.00,1,8415,3541,balanced
1784612347,34.04,55.93,2650,2900,85.0,54.0,Not charging,100,0.00,1,8415,3541,balanced
1784612348,33.81,56.04,2498,2700,83.0,54.0,Not charging,100,0.00,1,8415,3541,balanced
1784612349,33.39,56.02,2541,2807,81.0,54.0,Not charging,100,0.00,1,8415,3541,balanced
1784612350,33.55,56.00,2542,2800,85.0,54.0,Not charging,100,0.00,1,8415,3541,balanced
1784612351,33.83,55.93,2643,2906,86.0,55.0,Not charging,100,0.00,1,8415,3541,balanced
1784612352,33.01,56.12,2392,2623,81.0,55.0,Not charging,100,0.00,1,8415,3541,balanced
1784612354,33.90,55.94,2550,2800,85.0,55.0,Not charging,100,0.00,1,8415,3541,balanced
1784612355,33.21,55.85,2525,2800,83.0,55.0,Not charging,100,0.00,1,8415,3541,balanced
1784612356,34.51,56.09,2730,3004,86.0,55.0,Not charging,100,0.00,1,8415,3541,balanced
1784612357,35.10,56.00,2647,2901,86.0,55.0,Not charging,100,0.00,1,8415,3541,balanced
1784612358,34.65,56.10,2499,2700,83.0,55.0,Not charging,100,0.00,1,8415,3541,balanced
1784612359,33.89,55.97,2592,2900,86.0,55.0,Not charging,100,0.00,1,8415,3541,balanced
1784612360,35.38,55.90,2647,2900,87.0,55.0,Not charging,100,0.00,1,8415,3541,balanced
1784612361,35.42,56.10,2514,2800,86.0,55.0,Not charging,100,0.00,1,8415,3541,balanced
1784612362,34.17,55.85,2499,2699,82.0,55.0,Not charging,100,0.00,1,8415,3541,balanced
1784612363,33.98,56.12,2487,2706,82.0,56.0,Not charging,100,0.00,1,8415,3541,balanced
