Jul 21 16:15:46 space systemd[1]: Started nvidia-powerd service.
Jul 21 16:15:46 space nvidia-powerd[700]: nvidia-powerd version:2.0 (build 1)
Jul 21 16:15:46 space nvidia-powerd[700]: DBus Connection is established
Jul 21 16:15:46 space nvidia-powerd[700]: ERROR! DC power limits table is not supported
Jul 21 16:15:46 space nvidia-powerd[700]: ERROR! Failed to get SysPwrLimitGetInfo!!
Jul 21 16:15:46 space nvidia-powerd[700]: ERROR! Client (presumably SBIOS) has requested to disable Dynamic Boost DC controller
Jul 21 16:15:46 space nvidia-powerd[700]: CRITICAL! Failed to get SysPwrLimitGetInfo
Jul 21 16:15:46 space nvidia-powerd[700]: ERROR! JPAC is not created/already destroyed, ignoring request.
Jul 21 16:15:53 space nvidia-powerd[700]: ERROR! JPAC is not created/already destroyed, ignoring request.
Jul 21 16:15:57 space nvidia-powerd[700]: ERROR! JPAC is not created/already destroyed, ignoring request.
Jul 21 16:15:59 space nvidia-powerd[700]: ERROR! JPAC is not created/already destroyed, ignoring request.
Jul 21 16:16:03 space nvidia-powerd[700]: ERROR! JPAC is not created/already destroyed, ignoring request.
Jul 21 16:16:29 space nvidia-powerd[700]: ERROR! JPAC is not created/already destroyed, ignoring request.
Jul 21 16:16:30 space nvidia-powerd[700]: ERROR! JPAC is not created/already destroyed, ignoring request.
Jul 21 16:16:32 space nvidia-powerd[700]: ERROR! JPAC is not created/already destroyed, ignoring request.
Jul 21 16:19:36 space nvidia-powerd[700]: ERROR! JPAC is not created/already destroyed, ignoring request.
Jul 21 16:19:49 space nvidia-powerd[700]: ERROR! JPAC is not created/already destroyed, ignoring request.
Jul 21 16:19:53 space nvidia-powerd[700]: ERROR! JPAC is not created/already destroyed, ignoring request.
Jul 21 16:19:55 space nvidia-powerd[700]: ERROR! JPAC is not created/already destroyed, ignoring request.
Jul 21 16:53:22 space nvidia-powerd[700]: ERROR! JPAC is not created/already destroyed, ignoring request.
Jul 21 16:53:26 space nvidia-powerd[700]: ERROR! JPAC is not created/already destroyed, ignoring request.
Jul 21 16:53:28 space nvidia-powerd[700]: ERROR! JPAC is not created/already destroyed, ignoring request.
