epoch,pkg_w,psys_w,cpu_freq_avg_mhz,cpu_freq_max_mhz,pkg_temp_c,sen3_c,bat_status,bat_pct,bat_power_w,ac_online,pkg_throttle_count,core_throttle_count,platform_profile
1784620990,13.31,32.25,2063,3646,53.0,51.0,Charging,95,7.20,1,311,179,balanced
1784620992,16.34,56.15,1297,1600,51.0,51.0,Charging,95,7.00,1,311,179,balanced
1784620993,7.41,56.13,400,400,50.0,51.0,Charging,95,6.51,1,311,179,balanced
1784620994,6.92,55.78,597,800,50.0,51.0,Charging,95,7.17,1,311,179,balanced
1784620995,7.19,55.91,619,900,51.0,51.0,Charging,95,7.17,1,311,179,balanced
1784620996,7.37,55.74,1006,1200,50.0,51.0,Charging,95,7.16,1,311,179,balanced
1784620997,7.47,55.94,820,1200,50.0,51.0,Charging,95,7.14,1,311,179,balanced
1784620999,7.62,56.10,500,600,50.0,51.0,Charging,95,7.14,1,311,179,balanced
1784621000,7.28,55.72,685,1000,51.0,52.0,Charging,95,7.13,1,311,179,balanced
1784621001,7.28,55.55,1861,2096,52.0,52.0,Charging,95,7.12,1,311,179,balanced
1784621002,7.63,56.43,1180,1429,54.0,52.0,Charging,95,6.99,1,311,179,balanced
1784621003,7.45,56.21,450,500,51.0,52.0,Charging,95,7.05,1,311,179,balanced
1784621004,7.46,55.91,767,1000,51.0,52.0,Charging,95,7.05,1,311,179,balanced
1784621006,7.28,55.86,670,900,52.0,53.0,Charging,95,7.05,1,311,179,balanced
1784621007,6.95,55.87,687,1100,52.0,53.0,Charging,95,7.10,1,311,179,balanced
1784621008,7.11,55.91,639,902,52.0,53.0,Charging,95,7.11,1,311,179,balanced
1784621009,7.05,55.84,938,1300,52.0,53.0,Charging,95,7.03,1,311,179,balanced
1784621010,7.18,56.05,400,400,52.0,53.0,Charging,95,7.09,1,311,179,balanced
1784621011,7.01,55.95,638,900,52.0,53.0,Charging,95,7.08,1,311,179,balanced
1784621013,7.28,55.99,663,1100,52.0,53.0,Charging,95,7.07,1,311,179,balanced
1784621014,7.25,55.94,400,404,52.0,53.0,Charging,95,7.07,1,311,179,balanced
1784621015,7.07,55.94,751,1000,52.0,53.0,Charging,95,7.06,1,311,179,balanced
1784621016,7.18,55.97,913,1217,54.0,53.0,Charging,95,7.05,1,311,179,balanced
1784621017,7.10,55.95,761,1000,52.0,53.0,Charging,95,7.04,1,311,179,balanced
1784621018,7.21,55.78,877,1102,54.0,53.0,Charging,95,7.04,1,311,179,balanced
1784621019,7.27,56.00,1070,1204,52.0,53.0,Charging,95,7.04,1,311,179,balanced
1784621020,7.21,55.98,760,1000,55.0,53.0,Charging,95,7.03,1,311,179,balanced
1784621022,7.29,55.96,1175,1304,55.0,54.0,Charging,95,7.03,1,311,179,balanced
1784621023,6.98,55.32,879,1302,55.0,54.0,Charging,95,7.02,1,311,179,balanced
1784621024,6.98,55.51,1311,1400,54.0,54.0,Charging,95,7.01,1,311,179,balanced
1784621025,7.11,55.61,1145,1400,56.0,54.0,Charging,95,6.92,1,311,179,balanced
1784621026,6.95,55.71,909,1200,54.0,54.0,Charging,95,7.00,1,311,179,balanced
1784621027,7.00,55.51,1182,1464,55.0,54.0,Charging,95,7.00,1,311,179,balanced
1784621028,7.02,55.54,1000,1338,55.0,54.0,Charging,95,6.99,1,311,179,balanced
1784621029,6.90,55.62,919,1273,55.0,54.0,Charging,95,6.99,1,311,179,balanced
1784621031,6.88,55.37,878,1200,55.0,54.0,Charging,95,6.99,1,311,179,balanced
1784621032,6.94,55.48,895,1202,55.0,54.0,Charging,95,6.98,1,311,179,balanced
1784621033,7.20,55.86,950,1206,55.0,54.0,Charging,95,6.98,1,311,179,balanced
1784621034,7.10,55.87,1187,1400,55.0,54.0,Charging,95,6.97,1,311,179,balanced
1784621035,7.32,56.10,1007,1317,55.0,54.0,Charging,95,6.96,1,311,179,balanced
1784621036,7.03,55.99,992,1310,56.0,54.0,Charging,95,6.96,1,311,179,balanced
1784621037,7.17,55.98,996,1303,55.0,54.0,Charging,95,6.96,1,311,179,balanced
1784621038,8.08,55.88,1603,2000,56.0,54.0,Charging,95,6.96,1,311,179,balanced
1784621039,8.65,55.72,1682,2600,60.0,54.0,Charging,95,6.95,1,311,179,balanced
1784621040,7.89,56.44,1565,1700,55.0,54.0,Charging,95,6.89,1,311,179,balanced
1784621041,6.95,55.97,1274,1800,55.0,54.0,Charging,95,6.94,1,311,179,balanced
1784621043,6.99,55.88,1713,2000,56.0,55.0,Charging,95,6.93,1,311,179,balanced
1784621044,7.17,55.91,1634,2000,56.0,55.0,Charging,95,6.91,1,311,179,balanced
1784621045,7.45,56.21,625,971,55.0,55.0,Charging,95,6.92,1,311,179,balanced
1784621046,7.09,55.91,985,1204,56.0,55.0,Charging,95,6.91,1,311,179,balanced
1784621047,7.06,55.99,1042,1202,56.0,55.0,Charging,95,6.91,1,311,179,balanced
1784621048,7.10,55.94,650,900,56.0,55.0,Charging,95,6.91,1,311,179,balanced
1784621049,7.08,56.01,755,1100,56.0,55.0,Charging,95,6.91,1,311,179,balanced
1784621050,7.18,56.02,635,900,56.0,55.0,Charging,95,6.89,1,311,179,balanced
1784621052,7.16,55.95,956,1212,56.0,55.0,Charging,95,6.89,1,311,179,balanced
1784621053,7.06,55.88,979,1200,55.0,55.0,Charging,95,6.88,1,311,179,balanced
1784621054,7.04,56.08,419,500,55.0,55.0,Charging,95,6.87,1,311,179,balanced
1784621055,6.99,56.12,658,901,56.0,55.0,Charging,95,6.86,1,311,179,balanced
1784621056,6.96,56.04,688,1000,56.0,55.0,Charging,95,6.86,1,311,179,balanced
1784621057,6.95,55.80,933,1216,56.0,55.0,Charging,95,6.86,1,311,179,balanced
1784621058,7.03,55.94,836,1200,56.0,55.0,Charging,95,6.86,1,311,179,balanced
1784621060,6.97,55.96,1176,1400,56.0,55.0,Charging,95,6.72,1,311,179,balanced
1784621061,7.06,55.94,1153,1400,58.0,55.0,Charging,95,6.85,1,311,179,balanced
1784621062,6.99,55.94,1156,1300,56.0,56.0,Charging,95,6.84,1,311,179,balanced
