2026/07/21 13:54:03.343, 9.99, 1327, 6001, 0, 0, 49, P0, 4, 4, 0x0000000000000001
2026/07/21 13:54:04.350, 8.44, 210, 5501, 0, 0, 48, P3, 4, 4, 0x0000000000000001
2026/07/21 13:54:05.350, 5.61, 210, 810, 0, 0, 48, P5, 2, 4, 0x0000000000000001
2026/07/21 13:54:06.350, 5.63, 210, 810, 0, 0, 48, P5, 2, 4, 0x0000000000000001
2026/07/21 13:54:07.350, 6.81, 210, 405, 0, 0, 48, P8, 1, 4, 0x0000000000000001
2026/07/21 13:54:08.350, 6.79, 210, 405, 0, 0, 48, P8, 1, 4, 0x0000000000000001
2026/07/21 13:54:09.350, 16.06, 1117, 6001, 100, 19, 50, P0, 4, 4, 0x0000000000000004
2026/07/21 13:54:10.351, 16.06, 1132, 6001, 100, 21, 50, P0, 4, 4, 0x0000000000000004
2026/07/21 13:54:11.351, 16.02, 1117, 6001, 100, 21, 50, P0, 4, 4, 0x0000000000000004
2026/07/21 13:54:12.351, 16.26, 1095, 6001, 100, 22, 50, P0, 4, 4, 0x0000000000000004
2026/07/21 13:54:13.351, 15.97, 1117, 6001, 100, 23, 51, P0, 4, 4, 0x0000000000000004
2026/07/21 13:54:14.352, 16.17, 1087, 6001, 100, 21, 51, P0, 4, 4, 0x0000000000000004
2026/07/21 13:54:15.352, 16.09, 1072, 6001, 100, 21, 51, P0, 4, 4, 0x0000000000000004
2026/07/21 13:54:16.352, 16.07, 1072, 6001, 100, 21, 51, P0, 4, 4, 0x0000000000000004
2026/07/21 13:54:17.352, 15.98, 1110, 6001, 100, 20, 51, P0, 4, 4, 0x0000000000000004
2026/07/21 13:54:18.352, 15.69, 1132, 6001, 100, 22, 51, P0, 4, 4, 0x0000000000000004
2026/07/21 13:54:19.353, 15.53, 1140, 6001, 100, 20, 51, P0, 4, 4, 0x0000000000000004
2026/07/21 13:54:20.353, 15.99, 1095, 6001, 100, 20, 52, P0, 4, 4, 0x0000000000000004
2026/07/21 13:54:21.353, 16.11, 1087, 6001, 100, 21, 52, P0, 4, 4, 0x0000000000000004
2026/07/21 13:54:22.353, 16.15, 1177, 6001, 100, 20, 52, P0, 4, 4, 0x0000000000000004
